Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16A,Q17A,Q18A,Q19A,Q16B,Q17B,Q18B,Q19B,Q20_1,Q20_2,Q20_3,Q20_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q26,Q26_5_TEXT,Q27,Q28,Q29,Q30,Q30_7_TEXT,Q31,Q31_8_TEXT,Q32,Q33
Strongly agree,Strongly agree,Disagree,Somewhat similar,,Uncomfortable,,Very uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,,,,,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Strongly agree,Agree,Strongly agree,Strongly agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1947,"Some college, no degree",Liberal,White,,Retired,,"Rarely
","$20,000-$30,000"
Neutral,Agree,Don't know/ not sure,Somewhat similar,,Very comfortable,,Uncomfortable,,Comfortable,,Very comfortable,,Uncomfortable,,Very comfortable,,"No change: production of gene-edited crops and pesticide use stay the same
 ",,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",,,,,,Neutral,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Agree,Disagree,Agree,Neutral,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Agree,Agree,Neutral,Strongly agree,Disagree,Disagree,Agree,Disagree,Don't know/not sure,Neutral,Strongly disagree,Neutral,Agree,Disagree,Disagree,"Strongly agree
",Agree,Female,,1998,"Masters (MA, MS, MBA, Med)",Very liberal,Black,,"Working for pay,On vacation or sick leave from regular job",,More than once a week,"$30,000-$40,000"
Agree,Strongly disagree,Strongly disagree,Somewhat similar,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Comfortable,,Neither comfortable nor uncomfortable,,Comfortable,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,,,,,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Don't know/not sure,Agree,Don't know/not sure,Neutral,Don't know/not sure,Female,,1946,"Some college, no degree",Moderate,White,,Retired,,More than once a week,"$20,000-$30,000"
Agree,Agree,Neutral,Somewhat similar,they all deal with genes even though they have different processes and results,Uncomfortable,"they do not taste as good as the natural grown ones
",Uncomfortable,plants should be left alone,Uncomfortable,grew up with cows and bulls - they survive well if they are properly tended,Uncomfortable,"oure milk is great tasting and needs no help modifieing it comes from the cow
",Uncomfortable,I only wish to eat naturally grown foods,Uncomfortable,I love blueberries and like them just the way they are,,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,"smart farmers should avail themselves to the latest in fo regarding growing plants with out pesticides- did not use them whenI was on the farm  and  would not use them now
",Don't know/not sure,do not believe in altering food in any way - do not trust any produce that is physically altered.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Don't know/not sure,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,"Strongly agree
","Strongly agree
","Strongly agree
",Male,,1935,"Some college, no degree",Conservative,White,,Retired,,Once a week,"$30,000-$40,000"
Strongly agree,Agree,Disagree,Somewhat similar,They all have to do with altering an organisms genetic information although they may use different techniques.,Very comfortable,It would not introduce any new genes to the tomatoes and it would solve one of the downfalls of supermarket tomatoes so it would be very welcome.,Comfortable,I am a little less comfortable with this since it introduces a gene that is from another species and I wonder if the new information might also contain less desirable traits.,Uncomfortable,I believe genetic modification should be limited to improving nutritional improvements and disease and plant resistance that cannot be otherwise attained or would take a long time.  This modifiction does not really address any of those problems.  I grew up on a farm and dehorning of young cattle did not seem to cause them much pain.  I would prefer to see traditional techniques used to prevent horn growth.,Very uncomfortable,Canada does not need any more milk productions.  As we have seen during the Covid-19 pandemic excess milk is a problem when the market dries up.  This is an unnecessary modification.  Canada refused to allow rBGH when the US went ahead with it and our milk is considered to be better as a result.,Neither comfortable nor uncomfortable,The genetic makeup of wheat is quite complex (I used to work in wheat biochemistry) and I wonder if the impact of the introduced gene has been completely tested to make sure it would not have some sort of adverse effect. Additionally since Canada exports much of its wheat we have to consider what effects having a GM wheat would have on our markets. Traditional crop breeding techniques have been quite successful in altering traits and I know that plant breeders already address these issues in their programs.  I am not adverse to genetic modification per se but for wheat it seems this type has some downfalls.,Comfortable,Since blueberries are less likely to be a significant export crop this doesn't bother me as much as with wheat.,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",As a bird watcher I am aware that beneficial insects and birds are in decline due to pesticide use so I support using less pesticides and I do see GM as one way of achieving that.  However I am concerned about megacorporations having exclusive rights to crops which reduce genetic variation and alter how producers can market their crops.,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",Same comments as previous page,,,,,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Agree,Agree,Neutral,Agree,Neutral,"Strongly agree
",Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Female,,1953,"Bachelors (BA, BS, AB)",Very liberal,White,,Retired,,"Rarely
","$40,000-$50,000"
Disagree,Disagree,Disagree,Somewhat similar,"I have no idea about anything ""gene""",Neither comfortable nor uncomfortable,vegetables should be grown in the ground not in a lab,Neither comfortable nor uncomfortable,how can you compare beets and tomatoes?,Neither comfortable nor uncomfortable,leave the cows alone,Neither comfortable nor uncomfortable,again leave the cows alone,Neither comfortable nor uncomfortable,they still grow wheat,Neither comfortable nor uncomfortable,I have no idea of what you are talking about,,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Don't know/not sure,,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,,1955,High school diploma or GED,Moderate,White,,Retired,,Never,"$20,000-$30,000"
Neutral,Disagree,Disagree,Neither similar nor different,"Modification is like a marriage
Editing is like a divorce
Drives are like intercourse",Neither comfortable nor uncomfortable,Some of these hybrid tomatoes are unfit for human consumption. Many have a bitter taste and a very disturbing look  and feel.,Don't know/ not sure,I can't guess at the outcome. Is this a beetato?,Neither comfortable nor uncomfortable,"Pain from removing horns is definitely eliminated, but do we know what the ramifications are due to
the gene modification?",Comfortable,"Is there a guarantee that the milk will be fit for consumption after a few generations of alteration.
 ",Don't know/not sure,Not even a guess at this mixture.,Uncomfortable,"First, I can't believe blueberries are less important than wheat, unless we talk about volume.  I am a 
blueberry fan, and the berry is a fabulous breakfast item without the taste or texture being modified.",I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,"Pesticides are a problem. Just ask Monsanto. Many of our fruits and veggies have some amounts of
chemicals, many of which are caused by improper usage, but they are still poisonous and hard to control.",Don't know/not sure,I don't know enough to answer this one.,,,,,Neutral,Neutral,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly agree,Neutral,Disagree,Strongly agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Male,,1930,"Some college, no degree",Conservative,White,,Retired,,"Rarely
","$40,000-$50,000"
Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Somewhat similar,,Neither comfortable nor uncomfortable,,Uncomfortable,,Uncomfortable,,Don't know/not sure,,Neither comfortable nor uncomfortable,,Uncomfortable,,Don't know/not sure,,Don't know/not sure,,,,,,Disagree,Disagree,Disagree,Disagree,Strongly agree,Neutral,Disagree,Don't know/not sure,Neutral,Strongly agree,Don't know/ not sure,Strongly agree,Don't know/ not sure,Don't know/ not sure,Strongly agree,Don't know/ not sure,Agree,Don't know/not sure,Neutral,Agree,Don't know/not sure,Neutral,Strongly agree,Don't know/not sure,Don't know/not sure,Strongly agree,Disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1948,"Bachelors (BA, BS, AB)",Liberal,Black,,Retired,,Once a week,"$80,000-$100,000"
Neutral,Neutral,Neutral,Neither similar nor different,,Very comfortable,,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Male,,1988,"Some college, no degree",Conservative,White,,Working for pay,,Once or twice a month,"Less than $20,000"
Agree,Strongly agree,Neutral,Somewhat different,,Very comfortable,,Comfortable,,Uncomfortable,,Neither comfortable nor uncomfortable,,Very comfortable,,Very comfortable,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Male,,1988,Associates (2-year degree),Liberal,White,,Working for pay,,Never,"$20,000-$30,000"
Agree,Agree,Don't know/ not sure,Very different,Who cares ,Very comfortable,Who cares ,Neither comfortable nor uncomfortable,Who cares ,Neither comfortable nor uncomfortable,Who cares ,Neither comfortable nor uncomfortable,Who cares ,Neither comfortable nor uncomfortable,Who cares ,Neither comfortable nor uncomfortable,Who cares ,,,,,"No change: production of gene-edited crops and pesticide use stay the same
 ",Who cares ,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",Who cares ,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Strongly agree
",Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Strongly agree
",Strongly disagree,Male,,1953,"Bachelors (BA, BS, AB)",Moderate,White,,Retired,,Never,"$30,000-$40,000"
